Relation,TestSupport,TrainSupport,Prec,Recall,F1
overall,5648,42026,0.8278,0.8419,0.8348
per:country_of_death,14,48,1.0,0.4286,0.6
org:dissolved,5,141,0.6667,0.4,0.5
per:country_of_birth,0,182,0.0,0.0,0.0
per:stateorprovince_of_birth,9,297,0.875,0.7778,0.8235
org:stateorprovince_of_branch,57,315,0.6267,0.8246,0.7121
org:number_of_employees/members,13,346,0.8889,0.6154,0.7273
org:member_of,64,365,0.7167,0.6719,0.6935
per:stateorprovince_of_death,16,408,0.75,0.375,0.5
per:age,208,421,0.9261,0.9038,0.9148
per:religion,59,516,0.6429,0.6102,0.6261
per:date_of_birth,7,518,0.6364,1.0,0.7778
org:members,63,560,0.7258,0.7143,0.72
per:city_of_birth,15,591,0.7778,0.4667,0.5833
org:founded,34,601,0.8947,1.0,0.9444
org:city_of_branch,129,622,0.8545,0.7287,0.7866
org:shareholders,12,654,0.1429,0.0833,0.1053
per:charges,126,695,0.7584,0.8968,0.8218
org:founded_by,84,797,0.9383,0.9048,0.9212
org:website,30,820,0.54,0.9,0.675
per:other_family,52,822,0.8393,0.9038,0.8704
per:city_of_death,26,836,0.5833,0.5385,0.56
per:schools_attended,33,840,0.8125,0.7879,0.8
org:country_of_branch,166,891,0.7263,0.7831,0.7536
per:cause_of_death,50,905,0.7879,0.52,0.6265
per:date_of_death,63,1288,0.8136,0.7619,0.7869
org:political/religious_affiliation,29,1302,0.7931,0.7931,0.7931
org:alternate_names,337,1319,0.8498,0.8398,0.8448
per:parents,106,1324,0.8391,0.6887,0.7565
per:cities_of_residence,125,1362,0.7226,0.792,0.7557
per:countries_of_residence,148,1441,0.6765,0.6216,0.6479
org:top_members/employees,295,1475,0.8924,0.8712,0.8816
per:siblings,66,1654,0.7971,0.8333,0.8148
per:stateorprovinces_of_residence,73,1680,0.8214,0.6301,0.7132
per:origin,115,1823,0.7895,0.7826,0.786
per:children,55,2008,0.5957,0.5091,0.549
per:spouse,73,2077,0.8333,0.7534,0.7914
per:employee_of,332,2136,0.7514,0.7922,0.7713
per:title,523,2626,0.8974,0.9369,0.9167
per:identity,2036,5320,0.8645,0.915,0.889
